Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 nF,C_0402_1005Metric,97.200000,-101.282000,90.000000,top
C2,22 pF,C_0402_1005Metric,104.260000,-106.770000,0.000000,top
C3,10 uF,C_0805_2012Metric,97.275000,-105.057000,180.000000,top
C4,22 pF,C_0402_1005Metric,105.810000,-111.910000,180.000000,top
C5,100 nF,C_0402_1005Metric,98.580000,-113.880000,0.000000,top
C7,100 nF,C_0402_1005Metric,92.450000,-107.720000,90.000000,top
C8,10 uF,C_0603_1608Metric,102.963000,-102.220000,90.000000,top
C9,33 pF,C_0402_1005Metric,94.175000,-105.057000,90.000000,top
C10,100 nF,C_0402_1005Metric,94.018000,-117.038000,270.000000,top
C11,DNP,C_0402_1005Metric,106.365000,-106.745000,0.000000,top
C12,100 nF,C_0402_1005Metric,91.981000,-86.304000,90.000000,top
C13,22 uF,C_0603_1608Metric,103.090000,-85.610000,315.000000,top
C14,100 nF,C_0402_1005Metric,95.640000,-85.980000,315.000000,top
D1,B5819W,D_SOD-123,95.300000,-114.750000,0.000000,top
D2,B5819W,D_SOD-123,101.325000,-104.857000,0.000000,top
D3,LED,LED_0603_1608Metric_Castellated,104.390000,-104.522000,90.000000,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G,100.000000,-119.800000,0.000000,top
L1,2.2 uH,L_1210_3225Metric,99.952000,-102.118000,0.000000,top
Q1,SS8050,SOT-23,105.137000,-114.491000,90.000000,top
Q2,SS8050,SOT-23,106.841000,-104.542000,270.000000,top
R1,10 kR,R_0402_1005Metric,97.199000,-103.173000,270.000000,top
R2,5.1 kR,R_0402_1005Metric,98.750000,-115.280000,90.000000,top
R3,5.1 kR,R_0402_1005Metric,101.600000,-115.280000,270.000000,top
R4,330 R,R_0402_1005Metric,107.975053,-89.232053,315.000000,top
R5,120 kR,R_0402_1005Metric,95.125000,-105.057000,90.000000,top
R6,39 kR,R_0402_1005Metric,93.225000,-105.057000,270.000000,top
R7,10 kR,R_0402_1005Metric,107.231000,-111.442000,90.000000,top
R8,10 kR,R_0402_1005Metric,107.229000,-108.159000,270.000000,top
R9,1 kR,R_0402_1005Metric,104.170000,-101.892000,270.000000,top
R10,10 kR,R_0402_1005Metric,93.023000,-86.308000,90.000000,top
SW1,EN,SW_Push_SPST_NO_Alps_SKRK,92.800000,-120.900000,270.000000,top
SW2,BOOT,SW_Push_SPST_NO_Alps_SKRK,107.200000,-120.900000,270.000000,top
U1,MP2451,SOT-23-6,94.820000,-102.307000,180.000000,top
U2,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,98.130000,-109.710000,0.000000,top
U3,ESP32-PICO-D4,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,100.000000,-90.066762,315.000000,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,105.040000,-109.340000,270.000000,top
